Area,Parent,Name,Route,Type,Params,Entry Points,Secondary Entries,Auth,Context,Purpose,Functionality,Actions,Tabs,Modals,Data Source,Backend,Status,Visibility,Source File,Route File,Notes,Matrix Row ID,PP Equivalent Name,PP Route(s) Today,PP Route Exists,PP Source File(s),PP Nav Entry Point,PP Auth / Role Gate,PP Data Source,PP Backend Endpoint / Function,PP Backend Connected,PP Functional Status,Match Status,Match Confidence,UI Parity,Functional Parity,Route Decision,Target PP Route (Decided),Naming Decision (Label To Use),Nav Placement Decision,Deep Link Pattern,Lovable-Only Feature,Fake-Backend Risk,Preserve-PermitPilot-Logic Notes,Do-Not-Replicate Reason,Required Backend Work,Required Frontend Work,Blocking Dependencies,Priority,Risk,Effort,Phase,Acceptance Criteria,Test / Verification Hook,Owner Decision Needed,Audit Notes
Public,—,Home,/,static,none,sidebar → Help & Support › Pricing & Overview; header → Home; direct URL,logo click,public,none,Marketing / landing,Product overview and CTAs,navigate,—,Contact form,static,UI only,Working,always visible,src/pages/Home.tsx,src/App.tsx,Rendered inside PermitPilotShell.,L001,Home (marketing homepage inside app shell),/,Yes,src/components/auth/HomeRoute.tsx; src/pages/Home.tsx; src/components/layout/DashboardLayout.tsx,Header → Home; sidebar logo; direct URL,Public. Signed-in users are redirected to /dashboard by HomeRoute.,Static marketing content + LeadCaptureContext,None for render; lead capture writes via Supabase,Partial,Working,Strong functional match,High,"Partial — both render the homepage inside the authenticated shell; typography, hero and CTA styling differ","Strong — same purpose, and PermitPilot adds a signed-in redirect Lovable does not have",Keep PP route,/,"Keep ""Home""",Header Home link + logo click; keep out of the primary sidebar list,n/a,No,None — static marketing copy is legitimately static,Preserve HomeRoute's signed-in → /dashboard redirect and the LeadCapture modal wiring. Lovable renders Home unconditionally; do not copy that.,Do not copy Lovable's fabricated metrics or logos into PermitPilot marketing copy.,None.,"Align hero, section spacing, card and CTA styling with the Lovable homepage using existing PermitPilot components.",None.,P1,Low,S,Phase 2 — public / marketing shell,Anonymous visit to / renders the restyled homepage inside DashboardLayout; a signed-in visit still redirects to /dashboard; lead capture modal still fires.,Manual smoke of / signed-out and signed-in; npm run build,No,Confirmed in src/App.tsx line 80 and HomeRoute.tsx.
Public,—,Login,/login,static,none,auth redirect; direct URL,sign-out flow,public,none,Sign in,Email/password + rejection reason surfacing,submit,—,—,Supabase,Fully connected,Working,always visible,src/pages/Login.tsx,src/App.tsx,Blocks rejected members with toast.,L002,Auth (unified sign-in / sign-up page),/auth (with /login redirecting to it),Yes,src/pages/Auth.tsx; src/App.tsx (redirect at /login),Auth redirect from protected routes; sign-out flow; direct URL,Public,Supabase auth,Supabase auth; send-welcome-email,Yes,Working,Same purpose different architecture,High,"Partial — Lovable uses a dedicated Login page, PermitPilot uses one Auth page with a view switch",Strong — email/password sign-in with rejected/pending handling on both sides,Alias to PP route,/auth (alias /login already in place),"Use ""Sign in"" for the nav/CTA label; keep the route at /auth",Not a sidebar entry; reached via redirect and the header sign-in CTA,"/login → /auth (Navigate replace, already implemented)",No,None,"Preserve the whole Supabase auth path: session handling, rejected-member messaging, invite acceptance and the /signup view state. Never restyle by rebuilding the form.",Do not split /auth into separate /login and /signup pages just because Lovable does.,None.,"Apply Lovable card, spacing and input styling to the existing Auth form.",None.,P1,Low,S,Phase 1 — foundation / auth surfaces,"Sign-in, sign-up and rejected-member paths all still work; /login still redirects to /auth; no auth logic changed.",Manual sign-in with a demo account on the Vercel Preview build,No,"src/App.tsx lines 81-83. /login is a Navigate redirect, not a page."
Public,—,Sign up,/signup,static,none,Login → Sign up link,direct URL,public,none,Register / request access,Creates auth user pending admin approval,submit,—,—,Supabase,Fully connected,Working,always visible,src/pages/Signup.tsx,src/App.tsx,Not linked from sidebar.,L003,Auth (sign-up view),"/signup → /auth with state.authView = ""signup""",Yes,src/pages/Auth.tsx; src/App.tsx (redirect at /signup),Auth page → Sign up toggle; direct URL,Public,Supabase auth + user_roles pending approval,Supabase auth; send-welcome-email,Yes,Working,Same purpose different architecture,High,"Partial — same fields, different container (view state vs standalone page)",Strong — both create a pending auth user awaiting admin approval,Alias to PP route,/auth (alias /signup already in place),"Use ""Create account""; keep the route at /auth",Reached from the Auth page toggle only,/signup → /auth with authView=signup (already implemented),No,None,Preserve pending-approval semantics and the state-based view switch; do not introduce a second auth component.,Do not create a standalone Signup page.,None.,Style the sign-up view to match Lovable's registration card.,None.,P1,Low,S,Phase 1 — foundation / auth surfaces,/signup lands on the Auth page already showing the sign-up view; account creation still produces a pending user.,Manual sign-up with a throwaway demo address on Preview,No,"src/App.tsx line 83 passes state={{ authView: ""signup"" }}."
Public,—,Contact,/contact,static,none,Home CTA,direct URL,public,none,Inbound contact,Submits to contact_submissions + edge fn send-contact-email,submit,—,—,Supabase + edge function,Fully connected,Working,direct URL only,src/pages/Contact.tsx,src/App.tsx,Not in sidebar.,L004,Contact,/contact,Yes,src/pages/Contact.tsx; src/components/layout/MarketingLayout.tsx,Marketing nav → Contact; Home CTA; direct URL,Public,Supabase contact_submissions,send-contact-email edge function,Yes,Working,Strong functional match,High,"Partial — same form intent; PermitPilot wraps it in MarketingLayout, Lovable in PermitPilotShell",Strong — both write a submission row and trigger a notification email,Keep PP route,/contact,"Keep ""Contact""","Marketing header/footer, matching the other public pages",n/a,No,None,Preserve the contact_submissions insert and the send-contact-email invocation exactly.,—,None.,"Align form field, label and button styling with Lovable's contact card.",None.,P1,Low,S,Phase 2 — public / marketing shell,Submitting the restyled form still creates a contact_submissions row and sends the notification email.,"Manual submit on Preview, then verify the row in Supabase",No,src/App.tsx lines 100-107; supabase/functions/send-contact-email.
Command,—,Dashboard (layout),/dashboard,nested,?project=,sidebar → Command › Dashboard; header → Home,unmatched-route redirect,signed-in,optional selected project,Portfolio overview shell,Renders tabs (Operations/UCI) and outlet,"navigate, filter","Operations (index), Utility Coordination (uci)",New Workflow (via header),static mock,Mock,Mock,always visible,src/pages/Dashboard.tsx,src/App.tsx,Fallback destination for '*'.,L005,Dashboard,/dashboard,Yes,src/pages/Dashboard.tsx; src/components/auth/ProtectedRoute.tsx; src/components/layout/DashboardLayout.tsx,Sidebar → Dashboard; header Home; post-sign-in landing,Signed-in via ProtectedLayoutRoute,"Supabase projects, permit applications, deadlines (real user data)",Supabase queries; fetch-permit-data; permit-status-monitor,Yes,Working,Strong functional match,High,"Partial — Lovable adds a KPI band, alert strip and portfolio table styling PermitPilot does not have","Strong, and PermitPilot is ahead: Lovable's dashboard is entirely fabricated demo data",Keep PP route,/dashboard,"Keep ""Dashboard""","First sidebar entry, as today",n/a — PermitPilot has no /dashboard/* children,No,High — the Lovable KPI values are invented; every restyled tile must bind to a real PermitPilot query or be omitted,"Preserve all existing Supabase queries, the active-project context and ProtectedLayoutRoute gating. Restyle containers only.","Do not import Lovable's mock dashboard dataset, and do not add nested /dashboard child routes.",None. Any tile without a real query must be dropped rather than faked.,"Adopt Lovable's KPI card band, alert strip and portfolio table styling on top of the existing data hooks.",None.,P0,Medium,M,Phase 3 — core authenticated surfaces,"/dashboard shows the Lovable-style layout, every number traces to a real query, and no tile renders placeholder values.",Manual smoke with a demo account that has projects; npm run build; npx tsc --noEmit,No,src/App.tsx line 122. PermitPilot has no dashboard tab shell.
Command,Dashboard,Dashboard · Operations,/dashboard (index),nested,none,Dashboard tab,direct URL,signed-in,optional selected project,KPI + portfolio table,"View KPIs, alerts, project rows","view only, navigate",—,—,static mock,Mock,Mock,always visible,src/pages/Dashboard.tsx (DashboardOverview),src/App.tsx,Fabricated demo data.,L006,Dashboard (single Operations view),/dashboard,"Partial — same page, no index/child split",src/pages/Dashboard.tsx,Sidebar → Dashboard,Signed-in via ProtectedLayoutRoute,Supabase projects and permit applications,Supabase queries,Yes,Working,Partial match,High,"Partial — the KPI-plus-portfolio-table content exists, but not as a tab under a layout route",Strong on content; PermitPilot renders it directly instead of through an index route,Fold into existing PP surface,/dashboard,"Do not surface ""Operations"" as a separate label; it is simply the dashboard",No separate nav entry,n/a,No,High — Lovable explicitly marks this data fabricated,Preserve the single-page structure. Introducing a layout route plus index child adds routing surface for no functional gain.,Do not create a /dashboard index child route or a Dashboard tab bar.,None.,Merge the Lovable operations layout into the existing single Dashboard page (same work as L005).,Depends on L005.,P1,Low,S,Phase 3 — core authenticated surfaces,Operations content is visible on /dashboard with no tab shell and no new routes added.,Route count check: src/App.tsx still declares exactly one /dashboard route,No,Lovable splits this into a nested index route; PermitPilot deliberately does not.
Command,Dashboard,Dashboard · UCI,/dashboard/uci,nested,none,Dashboard tab → Utility Coordination,direct URL,signed-in,none,UCI overview inside dashboard,View UCI KPIs,view only,—,—,static mock,Mock,Mock,always visible,src/pages/UciDashboard.tsx,src/App.tsx,Same component as /uci but NOT role-gated here.,L007,UCI Hub,/uci,"Partial — the surface exists at /uci, not under /dashboard",src/pages/UciDashboard.tsx; src/App.tsx lines 166-175,Sidebar → Utility Coordination,"Signed-in via ProtectedLayoutRoute, wrapped in an ErrorBoundary",Live scraper + Supabase UCI coordination records,scraper-service /api/uci,Yes,Working,Same purpose different architecture,High,"Partial — PermitPilot's hub is richer, but it is not embedded as a dashboard tab",PermitPilot is ahead — Lovable's UCI tab is static mock content,Fold into existing PP surface,/uci,"Use ""Utility Coordination"" in the sidebar","Its own expandable sidebar group, not a dashboard tab",/uci?section=overview,No,Medium — a dashboard-embedded copy would duplicate the hub and drift from it,Preserve the single canonical /uci entry point and its ErrorBoundary wrapper.,Do not create /dashboard/uci. Lovable's own inventory notes that its /dashboard/uci copy bypasses RequireUciAccess — replicating it would reintroduce a role-gate bypass.,None.,"If a dashboard UCI summary is wanted, add a read-only card on /dashboard that links to /uci rather than a second mount of the hub.",None.,P1,Low,S,Phase 3 — core authenticated surfaces,"UCI remains reachable only at /uci; no /dashboard/uci route exists; any dashboard UCI card is a link, not a second mount.","Grep src/App.tsx for ""dashboard/uci"" — must return no matches",No,Deliberate divergence: Lovable's alias is a documented security smell.
Command,—,Projects,/projects,static,none,sidebar → Command › Projects,dashboard link,signed-in,none,Project list,Browse mock project cards,navigate,—,—,static mock,Mock,Mock,always visible,src/pages/Projects.tsx,src/App.tsx,—,L008,Projects,/projects,Yes,src/pages/Projects.tsx,Sidebar → Projects; dashboard links; active-project control,Signed-in via ProtectedLayoutRoute,"Supabase projects (real, RLS-scoped)",Supabase queries; send-project-team-invitation,Yes,Working,Strong functional match,High,Partial — Lovable's project cards and filter chrome are more refined,PermitPilot is ahead — Lovable browses mock cards; PermitPilot does real CRUD with RLS,Keep PP route,/projects,"Keep ""Projects""","Second sidebar entry, as today",n/a,No,Medium — do not add card fields that PermitPilot's projects table cannot populate,"Preserve project CRUD, RLS scoping, team invitations and the active-project selector.",Do not replace the real project list with Lovable's static cards.,None.,"Adopt Lovable's card grid, status pills and filter bar on top of the existing project query.",None.,P0,Low,M,Phase 3 — core authenticated surfaces,"Project list, create, invite and select flows all behave as before with the new card styling; every card field maps to a real column.",Manual CRUD smoke with a demo account; npx tsc --noEmit,No,src/App.tsx line 123.
Command,Projects,New Project (Portal Credentials),/projects/new,static,none,Projects → New,direct URL,signed-in,none,Onboard project + portal creds,Enter credentials,create,—,—,local state,UI only,Placeholder,direct URL only,src/pages/ProjectSetupCredentials.tsx,src/App.tsx,—,L009,"Portal credential capture (in the filing dialog, not a page)",Modal inside /projects and /permit-wizard-filing,"Partial — capability exists, no dedicated route",src/components/permit-wizard/StartFilingDialog.tsx; scraper-service/app/routes/portal-credentials.routes.js,Projects → start filing; permit wizard entry,Signed-in; credentials are tenant-scoped,Supabase portal_credentials (encrypted),scraper-service portal-credentials routes; check-portal-status,Yes,Working,Same purpose different architecture,High,"Partial — Lovable uses a full onboarding page, PermitPilot uses a dialog in the filing flow",PermitPilot is ahead — Lovable's page is a UI-only placeholder; PermitPilot stores encrypted credentials and validates them,Fold into existing PP surface,/projects (StartFilingDialog),"Use ""Portal credentials"" as the dialog title",No nav entry; contextual to a project,n/a,No,High — a standalone credential page that does not actually encrypt and validate would be a security-relevant fake,"Preserve encrypted storage, tenant scoping and credential validation via check-portal-status. Credentials must never be handled by new UI code paths.",Do not build a /projects/new credential page; Lovable's version stores nothing.,None.,Restyle the existing dialog using Lovable's form styling.,Security review required for any change that touches credential input.,P2,Medium,M,Phase 5 — admin and settings surfaces,Credential capture still round-trips through the existing encrypted path; no new route and no new credential handling code.,node --test scraper-service/tests (portal credential coverage); manual filing dialog smoke,No,portal_credentials confirmed in supabase/migrations/20260210000000_portal_credentials.sql.
Command,Projects,Project Timeline,/projects/:id/timeline,dynamic,:id,Project Workspace → Timeline,direct URL,signed-in,selected project (:id),Milestone timeline,View milestones,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/ProjectTimeline.tsx,src/App.tsx,—,L010,Project deadlines and permit status (partial data only),"/dashboard, /projects (deadline surfaces)",No — no timeline route,src/pages/Dashboard.tsx (deadline widgets),Not present in PermitPilot navigation,n/a — surface does not exist,Supabase deadlines and permit application status,permit-status-monitor; send-deadline-reminders,Partial,"Adjacent data exists, no timeline surface",Missing in PermitPilot,High,None — no timeline UI,Weak — deadline data exists but there is no milestone schema,Defer,Undecided — would need /projects/:id/timeline,n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","PermitPilot tracks deadlines and permit status but has no milestone timeline model, so a timeline page would render invented milestones.",Define a project milestone schema and derive milestones from real permit and deadline events.,None until a milestone model exists.,Depends on L012 (a real project detail route) and on a milestone data model.,P2,Medium,L,Backlog — after a real /projects/:id detail route exists,"Not scoped. Requires a milestone schema, an owner and an update to this row first.",n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's timeline is mock; PermitPilot's deadline data is real but insufficient to populate it.
